pname,cname,effect,dosage,dprecaution,interaction,side_effect,storage
대한염화나트륨액,대한약품공업(주),"이 약은 피부, 창상면, 점막의 세정, 습포 및 함수(양치질), 분무흡입제로서 점막세정, 객담배출 촉진, 의료용구의 세정에 사용합니다.
","적당량을 사용합니다.
","이 약을 주사용으로 사용하지 마십시오.
",,,"실온에서 보관하십시오.
"
옵타젠트점안액(포비돈),삼일제약(주),"이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.",1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.,치료 중에는 소프트콘택트렌즈의 착용을 피하십시오.점안용으로만 사용하십시오.오염을 방지하기 위해 될 수 있는 한 공동으로 사용하지 마십시오.,,매우 드물게 과민반응이 나타날 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
에바치온캡슐(글루타티온),조아제약(주),"이 약은 약물중독에 사용합니다.
","성인은 1회 1~2캡슐(50~100 mg), 1일 1~3회 복용합니다.

연령, 증상에 따라 적절히 증감할 수 있습니다.
","Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.
",,"드물게 발진, 식욕부진, 구역, 구토, 위통 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
삐콤정,(주)유한양행,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시 비타민 B1, B2, B6, C의 보급에 사용합니다.","만 8세 이상 및 성인은 1회 1~3정씩, 1일 1회 복용합니다.","이 약에 과민증 환자, 만 3개월 이하의 젖먹이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 고옥살산뇨증(요중에 과량의 수산염이 배설되는 상태), 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 미숙아, 유아, 통풍, 신장결석, 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.",레보도파와 함께 복용하지 마십시오.,"구역, 구토, 설사, 묽은 변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
게루삼정,삼남제약(주),"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","만 15세 이상 및 성인은 1회 2정, 만 8세 이상 15세 미만은 1회 1정, 1일 3회 식간(식사때와 식사때 사이) 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다.","투석요법을 받고 있는 환자, 만 7세 이하의 어린이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 신장장애 환자, 나트륨 제한 식이를 하는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.",테트라사이클린계 항생제와 함께 복용하지 마십시오.,"변비, 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
"보화소합원(대환,소환)",원광제약(주),"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.",대환은 1회 1∼2환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.소환은 1회 8∼16환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.,"만 7세 이하의 소아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 혈압이 높은 환자, 고령자, 심장 또는 신장(콩팥)에 장애가 있는 환자, 부종(부기)이 있는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.","칼륨함유제제, 감초함유제제, 글리시리진산 혹은 그 염류 함유제제, 루프계 이뇨제(푸로세미드, 에타크린산) 또는 티아지드계 이뇨제(트리클로르메티아지드)를 복용하는 사람은 의사 또는 약사와 상의하십시오.","요량이 감소하거나 얼굴과 손발이 붓고, 눈꺼풀이 무거워지고, 손이 굳어지고, 혈압이 높아지거나 두통, 근병증(무력감, 사지경련, 마비 등)이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 건냉암소에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
지엘타이밍정(카페인무수물),지엘파마(주),이 약은 졸음에 사용합니다.,"성인은 1회 2~6정(100~300 mg)씩, 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자, 위궤양 환자 또는 경험자, 심질환, 녹내장 환자는 의사 또는 약사와 상의하십시오.",,만성 녹내장을 악화시킬 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
엔클비액(염화나트륨),한림제약(주),"이 약은 비점막 건조 증상의 완화에 사용합니다.
","성인은 증상에 따라 필요시 각 비강에 2방울씩 점적합니다.

연령, 증상에 따라 적절히 증감합니다.
","이 약 또는 벤잘코늄염화물에 과민증(발진, 발적, 종창, 자극감 등) 환자는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 점비약에 과민증 환자는 의사 또는 약사와 상의하십시오.

이 약은 점비용으로만 사용하십시오.
",,,"실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
지노콜시럽(구연산부타미레이트),동성제약(주),"이 약은 급성기침, 경련성기침, 흡연성기침, 기관지경 검사 전·후의 기침 억제에 사용합니다.","성인은 1회 15 mL (22.5 mg), 1일 4회, 12~14세는 1회 15 mL (22.5 mg), 6~11세는 1회 10 mL (15 mg), 3~5세는 1회 5 mL (7.5 mg), 1일 3회 복용합니다.","이 약에 과민증 환자, 임부는 이 약을 복용하지 마십시오.",,"드물게 발열, 구역, 구토, 설사 또는 졸음, 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기를 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
제로미아액,오스템파마주식회사,"이 약은 약물치료, 구강 또는 인후 부근의 방사선 치료, 타액선 감염, 구강 또는 인후감염, 치아 또는 구강수술, 발열, 정서적요인으로 인한 타액분비감소에 사용합니다.",구강내 습기를 유지하는데 필요한 만큼 또는 의사의 지시에 따라 구강이나 인후에 1~2회 동안 직접 분무합니다.,이 약에 과민증 환자는 이 약을 사용하지 마십시오.눈에 분무하지 마십시오.,,,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
베스타제정,동아제약(주),"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.
","성인(만 15세 이상)은 1회 2정씩, 만 11세 이상~만 15세 미만은 1회 1~2정씩, 만 8세 이상~만 11세 미만은 1회 1정씩, 1일 3회 식후에 복용합니다.
","만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질, 황색5호 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.

2주 정도 투여하여도 증상의 개선이 없을 경우 이 약의 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.
",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
베스타제당의정,동아제약(주),"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.
","성인(만 15세 이상)은 1회 2정씩, 만 11세 아상~만 15세 미만은 1회 1~2정씩, 만 8세 이상~만 11세 미만은 1회 1정씩을 1일 3회 식후에 복용합니다.
","만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질은 의사 또는 약사와 상의하십시오.

2주 정도 투여하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.
",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
원비디,일양약품(주),"이 약은 자양강장, 허약체질 보조 및 개선, 피로회복에 사용합니다.","15세 이상 및 성인은 1회 1병, 1일 1~2회 복용합니다.","이 약에 과민증 환자는 이 약을 복용하지 마십시오.이 약은 생약엑스 배합 제제이므로 때때로 침전이 생기는 경우가 있지만, 약효는 변함이 없으므로 잘 흔들어 복용하십시오.정해진 용법과 용량을 잘 지키십시오.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.",,"구역, 구토, 묽은 변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.피부, 눈, 점막에 경미한 자극 등이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
에어신신파스,신신제약(주),"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.
","1일 1회~수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.
","30개월 이하의 유아, 눈 주위, 점막 등, 습진, 옻 등에 의한 피부염, 상처부위에는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 이 약이나 화장품 등에 과민증 환자, 알레르기 체질, 습윤(습기 참)이나 미란(짓무름)이 심한 환자, 의사의 치료를 받고 있는 환자, 소아, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

5~6회 투여하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.

이 약은 외용으로만 사용하십시오.

눈에 들어가지 않도록 주의하십시오.

사용 전에 잘 흔들어 사용하며 환부(질환부위)로부터 20 cm의 거리에서 뿌리되 동일 부위에 연속하여 3초 이상 뿌리지 않습니다.

화기를 사용하고 있는 실내에서 사용하지 말고 밀폐된 실내에서 사용한 후에는 반드시 환기를 실시하십시오.
",,"발진ㆍ발적(충혈되어 붉어짐), 가려움, 부종(부기) 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.

화기 근처에 두지 마십시오.

밀폐된 장소에 보관하지 마십시오.

사용 후 잔가스가 없도록 하여 버리십시오.
"
성광멸균바세린거즈(백색바셀린),(주)퍼슨,이 약은 경미한 화상 및 상처에 사용합니다.,1일 1~2회 환부의 크기에 따라 적당히 절단하여 환부에 부착합니다.,"외용으로만 사용하십시오.눈에 들어가지 않도록 주의하십시오.깊은, 찔린 또는 찢긴 상처 및 감염 부위에 사용하지 마십시오.도포하기 전 환부를 깨끗이 씻은 후 사용하십시오.",,,빛을 피해 실온에서 보관하십시오.
미보(MEBO)연고,(주)한도상사,"이 약은 화상 또는 상처에 사용합니다.
","1일 2~3회 상처부위에 얇게 바릅니다.
","안과용으로 사용하지 마십시오.
",,"감작증후(소양(가려움), 발적(충혈되어 붉어짐), 종창(부기), 구진, 소수포(물집) 등)가 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","서늘한 곳에 실온에서 보관하십시오.
"
한림포비돈점안액(수출명:한비돈점안액),한림제약(주),"이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.",1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.,치료 중에는 소프트콘택트렌즈의 착용을 피하십시오.점안용으로만 사용하십시오.오염을 방지하기 위해 될 수 있는 한 공동으로 사용하지 마십시오.,,매우 드물게 과민반응이 나타날 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
포스테리산좌제,동화약품(주),이 약은 치질에 사용합니다.,"아침 ∙ 저녁 1회 1개씩, 1일 2회 가능한 한 배변 후 항문내에 삽입합니다.",이 약에 과민증 환자는 이 약을 사용하지 마십시오.이 약이 무르게 된 경우에는 잠시 냉각시킨 후에 사용하며 또한 지나치게 경화된 경우에는 무르게 한 후 사용하십시오.이 약은 직장(곧창자)에만 사용하고 내복용으로는 사용하지 마십시오.,,"가벼운 정도의 소양감(가려움), 통증, 출혈이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
